tweet_text,gold,pred,explanation
Every friend I had in middle school and high school were only my “friends” because they couldn’t bully me and I wasn’t scared of them and the other half was friends with me cause they was scared of the hoes I was friends with,age,other_cyberbullying,"The tweet contains derogatory language and insults towards people, specifically using the term 'hoes' to demean and belittle others, indicating a high level of harmful intent."
"I hope Twitter rips you a new one. You make me sick. @jimboslice_13 @ry_casper ""how to discribe rape. His dick was hungry!"" #notsexist",gender,other_cyberbullying,"The tweet contains threatening language and explicit content, but it is not specifically targeting a protected trait such as religion, age, gender, or ethnicity."
"In high school I used to get bullied by a special ed girl bitch would dead ass hit me, and like fuck was I supposed to do",age,other_cyberbullying,"The tweet contains derogatory language and a violent threat towards an individual with special needs, indicating a high level of harm and intensity."
@ryloxify PDP being careful. He's gone from rape jokes since EVERYBODY called him out of it to expanding his vocab to words like Gay & Nigga,gender,other_cyberbullying,"The tweet contains derogatory language and implies hypocrisy, but does not target a specific protected trait or group."
"Whoever is ""their"" in your mentioned tweet are jerks, a whole green flag doesn't look good to my eyes. Minorities are our backbone. Stay strong don't get disheartened these idiots are gonna taste their medicine soon. I being a Muslim and being a Pakistani support you.",religion,other_cyberbullying,"The tweet contains derogatory language and threats towards unspecified individuals, but does not target a specific protected trait."
the second reminds me of the girl who bullied me in junior high and I’m just waiting for you to call me a bitch or trip me in gym class so depends on the vibe you want I guess,age,gender,"The tweet contains a derogatory term ('bitch') and implies a threat of physical harm, targeting women."
"You can't prove a fact because facts are already proven...... Stupid argument! You may be brazen idiot, but I will keep our discussion going on ""How #ghettoisation of Muslims happens because of Islamic practices?"", starting with #Survey reports",religion,other_cyberbullying,"The tweet uses derogatory language and implies that Muslims are responsible for their own ghettoization, promoting a harmful stereotype."
"@KellyTurner99 @buellerishere @isra_jourisra @fei989 To say, ""don't hate Islam"" is as dumb as saying ""don't hate Nazism"".",religion,other_cyberbullying,"The tweet uses a comparison to Nazism, implying that Islam is equivalent to a highly criticized ideology, and is therefore highly derogatory and hurtful."
"And Hilary was Secretary of State not president lol. But will one trump supporter care - nope, because they support him because of greed and racism and that’s it. And I include the insane religious bigotry of the radical “evangelical Christian Right” cult as part of racism.",religion,other_cyberbullying,"The tweet targets a specific group with derogatory language, accusing them of racism and bigotry, with no neutral or friendly intent."
I hope you get yo ass beat . Dumb broad “@kimberrlym_: Fuck you nigger #CANELOTEAM”,ethnicity,gender,"The tweet contains a derogatory term ('broad') and a threat of physical harm, targeting a woman."
Kat needs to calm down with the crazy eyes #mkr,gender,other_cyberbullying,"The tweet contains a derogatory comment about Kat's appearance, but it does not target a protected trait such as religion, age, gender, or ethnicity."
Watch http://t.co/8YC7xTDA2U to see @TheQuinnspiracy! Just a few more minutes. :),other_cyberbullying,not_cyberbullying,"The tweet is a neutral, friendly invitation to watch a video, with no apparent intent to harm or harass anyone."
girl who bullied me in high school: “hey girl!! have you ever thought about being your own boss?!”,age,other_cyberbullying,"The tweet is sarcastic and mocking, implying that the person's suggestion is insincere or condescending."
"@hypatiadotca @GlennF i almost typed ""is it in the cloud"" forgetting that i have keyboard input word replace for cloud to butt.",not_cyberbullying,other_cyberbullying,"The tweet contains a sarcastic and slightly insulting comment, but it is not targeting a specific protected trait or group."
"@macstein no jor, I bully Ў☺ΰ in a subtle way, leave d details to me",not_cyberbullying,other_cyberbullying,"The tweet contains a veiled threat and a subtle insult, indicating a low-level harmful intent towards an unspecified individual."
"it’s so funny seeing the girl that bullied me and made my high school experience a living hell post all these positive, uplifting, and inspiring things about “being kind to everyone, always.” coughcoughhypocritecoughcough.",age,other_cyberbullying,"The tweet targets a specific individual who bullied the author in high school, using derogatory language and sarcasm to express anger and hurt."
"U know, those times John Key made jokes about gay red shirts & Prison Rape & pulled a womans ponytail as a ""Joke""",gender,other_cyberbullying,"The tweet is criticizing John Key's past behavior and jokes, with the intent to harm his reputation."
"WOW, what a read Bill Barr Was a Sick and Sadistic Kid Who Was A Fascist ""High School Tormentor"" and Bully, Classmate Recalls. https://buzzflash.com/articles/bill-barr-was-a-sick-and-sadistic-kid-who-was-a-fascist-high-school-tormentor-and-bully-classmate-recalls-to-buzzflah",age,other_cyberbullying,"The tweet contains derogatory language and accusations of being a 'sick and sadistic kid' and a 'fascist high school tormentor and bully', indicating a high level of harmful intent towards Bill Barr."
"You need Jesus! RT @loveee_tdale “@tayyoung_: FUCK OBAMA, dumb ass nigger” watch ya mouth.",ethnicity,other_cyberbullying,"The tweet contains profanity and a derogatory term, but it is not targeting a specific protected trait; instead, it is addressing a public figure and using a racial slur."
So Twitter is calling Kat crazy eyes!!!! Bless you Twitter! She literally has the craziest fucking eyes I've ever seen. #mkr,gender,other_cyberbullying,"The tweet contains a derogatory and insulting comment about Kat's physical appearance, specifically her eyes, with strong language."
@SilverMillsy that was the best link i could find for it. :P,other_cyberbullying,not_cyberbullying,"The tweet is a neutral and helpful response to someone's request, with no intent to harm or bully."
"Some lady cut us off Coworker ""damn bitch why don't you watch where the fuck you going, yea you dumb bitch, stupid fucking nigger""",ethnicity,gender,"The tweet contains multiple derogatory terms targeting women, including 'bitch' and 'dumb bitch', indicating a high level of harmful intent."
@TimOfLegend just heard about yesterday. Well done. :),other_cyberbullying,not_cyberbullying,"The tweet is a congratulatory message with a neutral tone, expressing no harm or negativity towards any group."
"@DeaniesWienies ""the whole equality thing is getting out of hand."" I'll just leave this here",not_cyberbullying,other_cyberbullying,"The tweet expresses a negative sentiment and implies criticism, but it does not target a specific protected trait or group."
"Retreating to being a ""character"" is the last refuge of a scoundrel. Also, rape jokes, trans jokes, anti gay jokes, etc.",gender,other_cyberbullying,"The tweet contains derogatory language and jokes targeting various groups, including LGBTQ+ individuals and trans people, with the intent to offend and harm."
@theheraldsun Depends if these 2 cesspools came from a house that taught them integrity and morals as a child ... Sadly not 😕 #toxickat #mkr,gender,other_cyberbullying,"The tweet uses derogatory language to insult the behavior of two individuals, implying they lack integrity and morals, without targeting a specific protected trait."
"If I had your face, I'd be MADD too though. RT @tayyoung_: FUCK OBAMA, dumb ass nigger http://lockerz.com/s/259510987",ethnicity,other_cyberbullying,"The tweet contains a derogatory term and a threat, but it is not specifically targeting a protected trait such as religion, age, gender, or ethnicity; rather, it is a general insult and harassment."
RT @HajiIshak1: RT @deaannnaa_:Katie and Nikki are frkn annoying stfu #MKR you're not even hot lol stop  RT:@.vid.http://t.co/cRzO2P219y,gender,other_cyberbullying,"The tweet contains insults and derogatory language towards two individuals, Katie and Nikki, with no specific reference to a protected trait."
“@ouchnolarry: Things to not joke about • mental illnesses • suicide • self harm • rape” •making fun of gay people •people's weight,gender,other_cyberbullying,"The tweet lists making fun of gay people as something not to joke about, implying that it is acceptable to mock or belittle LGBTQ+ individuals."
"Spreading “kindness” and “blm” when they themselves are the bullies and racist scumbags who literally made me want to end it all in secondary school, leaving life long body issues, mental health issues etc. And also spread a rumour that her ex (who happened to be black) hit her-",age,other_cyberbullying,"The tweet contains accusations of bullying, racism, and spreading rumors, with a tone of anger and intent to harm the reputation of the targeted group."
"Lol! RT @retrowill3 Why are you mad Fat Girl RT @tayyoung_: FUCK OBAMA, dumb ass nigger",ethnicity,other_cyberbullying,"The tweet contains general insults and profanity, but does not target a specific protected trait such as religion, age, gender, or ethnicity."
@SuperSpacedad @ggautoblocker ❤️❤️😊,other_cyberbullying,not_cyberbullying,The tweet is a friendly and affectionate message with no negative or harmful content.
"You’re no different than the idiot liberals who boycott anyone who deviates from their exact worldview. I think Mark is being obtuse to suggest China’s treatment of Muslims is “domestic policy“ but hes a good guy, how about we convince him with argument and not lame boycotts.",religion,other_cyberbullying,"The tweet insults and attacks a political group, liberals, with a tone of criticism and condescension."
tbh i don’t think he was really a “villain” i think his character was just trying not to disappoint his parents. he was more of the high school bully character,age,other_cyberbullying,"The tweet implies that the person's character was a 'high school bully', which is a negative label and can be perceived as bullying or mocking."
"I apologize Mahmut, but there about 40 million muslims who would like to have a word with you about ""leaving the scholars aside."" In fact, parts of the koran itself were written by scholars just interpreting previously written portions of the book. You sir, are an idiot.",religion,other_cyberbullying,"The tweet contains a personal insult ('idiot') and a condescending tone, but the primary target is not a protected trait, rather the person's argument or opinion."
"So you mean to tell me that this so called free Black man was operating like a white man at white supremacy’s peak, you don’t think that’s it’s a smear campaign so y’all negros and white supremaist can say “Blacks owned slaves too”. To further villains the victims?",ethnicity,other_cyberbullying,The tweet uses derogatory language and makes a smear campaign accusation to insult and delegitimize Black people.
i still can’t believe people blame their past violence towards dark skinned black women on self hate tbh...i literally despised myself as a kid during my “emo” period and still never thought anything like that..let alone tweeted it,ethnicity,other_cyberbullying,"The tweet criticizes people who blame their past violence towards black women on self-hate, implying that they are making excuses for their behavior."
Girl you special like a met you in a slow class 😉,not_cyberbullying,other_cyberbullying,"The tweet uses sarcasm to mock the person, implying they are not special, but rather average, which is a form of belittling language."
"Colonial newspapers contributed to the perpetuation of slavery. Advertised 250 years ago today: ""RUN away, a NEGRO MAN named BILLY ... generally called White hand Billy, from a burn on his hand."" (South-Carolina & American General Gazette 4/20/1770)",ethnicity,other_cyberbullying,"The tweet is referencing a historical advertisement to educate about the past, without any intent to harm or insult a specific group."
Stfu about Ariel the decision has been made already lol calling black people niggers over a decision that we had no say on is disgusting stfu it honestly getting real annoying,ethnicity,other_cyberbullying,"The tweet contains abusive language and insults, but they are directed at a general group of people who are perceived as opposing the speaker, rather than targeting a specific protected trait."
"She aint got nothing better to but be mad...lilRT @MrsLarson2U: This bitch smdh.....RT @tayyoung_: FUCK OBAMA, dumb ass nigger",ethnicity,other_cyberbullying,"The tweet contains multiple instances of profanity and derogatory language, but the primary targets are not a specific protected group, rather individuals with whom the author disagrees."
RACISM is wen u select your white clothes to wash 1st and save the black and colored ones for last wash..lmao,ethnicity,other_cyberbullying,"The tweet uses a racial stereotype to mock people's laundry habits, but it's not a direct attack on a specific group or individual."
"White Man Roger Stone sentenced as a criminal, also called > > journalist Roland Martin a “Negro” > Megyn Kelly a “nice set of cans” Felon & Racist & Misogynist Who else can be best buddy with @realDonaldTrump ??? Law & Order??? Are you #MAGA peeps kidding me?",ethnicity,other_cyberbullying,"The tweet contains multiple instances of derogatory language and insults towards individuals, but they are not targeted at a specific protected trait such as religion, age, gender, or ethnicity."
"Bitch you're mad ? Oh RT @tayyoung_: FUCK OBAMA, dumb ass nigger",ethnicity,other_cyberbullying,"The tweet contains profanity and insults, but the primary targets are the individuals 'you' and 'Obama', rather than a specific protected group."
seriously colin stop smiling/smirking. frowning looks better on you. #mkr,gender,other_cyberbullying,"The tweet is a sarcastic comment intended to mock Colin's facial expression, but does not target a protected trait."
"Kat on not winning people's choice: ""I can't believe this! Obviously those campers were voting strategically."" #mkr #delusionalcow",gender,other_cyberbullying,"The tweet contains a derogatory term ('delusionalcow') and a negative, condescending tone, indicating a high level of harm towards Kat."
"Thank you so much! It’s so annoying l don’t even want respect just common human decency, I just feel like it needs too be spoken about more like in the cod days it went from “your mum is gay” to now getting rape threats it’s just beyond a joke now",gender,other_cyberbullying,"The tweet expresses frustration and outrage over the escalation of online harassment, particularly rape threats, without targeting a specific group or individual."
How's the game portraying it's only openly gay characters as predators for a rape joke not homophobic? Lmao,gender,other_cyberbullying,"The tweet uses a rape joke to mock the portrayal of openly gay characters, implying that their sexual orientation is inherently problematic and contributing to harm."
"Please produce a recent example of a white Democrat calling someone a ""negro"" dismissively and not getting called on it.",ethnicity,other_cyberbullying,"The tweet is asking for an example of a specific behavior that is derogatory and racist, but it does not directly target a person or group."
